sample_id,true_label,base_prediction,flipped_prediction,base_confidence,flipped_confidence,feature,original_value,flipped_value,feature_type,question_key,question_text,question_type,option_text,question_seen_count
sample_1188,3+,3+,7+,0.9924541821028022,0.7628618911727574,answer__q_6bdc905e3f72_Scary_elements_Learn_more,0,1,answer,q_6bdc905e3f72,Please select all that the game includes:,multi,Scary elements Learn more,276
sample_1236,7+,7+,18+,0.9998842970307439,0.3711254178489806,answer__q_6bdc905e3f72_Scary_elements_Learn_more,1,0,answer,q_6bdc905e3f72,Please select all that the game includes:,multi,Scary elements Learn more,276
sample_0027,7+,7+,12+,0.9999168434183237,0.539712215024278,answer__q_6bdc905e3f72_Scary_elements_Learn_more,1,0,answer,q_6bdc905e3f72,Please select all that the game includes:,multi,Scary elements Learn more,276
sample_0181,16+,16+,7+,0.5000948677385612,0.5095304150699362,answer__q_6bdc905e3f72_Scary_elements_Learn_more,0,1,answer,q_6bdc905e3f72,Please select all that the game includes:,multi,Scary elements Learn more,276
sample_1232,12+,12+,7+,0.9809239893734416,0.9957357258916806,answer__q_6bdc905e3f72_Scary_elements_Learn_more,0,1,answer,q_6bdc905e3f72,Please select all that the game includes:,multi,Scary elements Learn more,276
sample_1305,12+,12+,18+,0.9963013414867382,0.930355917096995,answer__q_a4d0a299c5a1_Yes,0,1,answer,q_a4d0a299c5a1,Is this the primary focus of the app?,single,Yes,136
sample_0112,12+,12+,18+,0.9976506853504311,0.9014543148655106,answer__q_a4d0a299c5a1_Yes,0,1,answer,q_a4d0a299c5a1,Is this the primary focus of the app?,single,Yes,136
sample_0444,12+,12+,3+,0.9879511592036864,0.6964425235885912,answer__q_a4d0a299c5a1_Yes,0,1,answer,q_a4d0a299c5a1,Is this the primary focus of the app?,single,Yes,136
sample_1256,12+,12+,18+,0.9962902038647914,0.9007629526004449,answer__q_a4d0a299c5a1_Yes,0,1,answer,q_a4d0a299c5a1,Is this the primary focus of the app?,single,Yes,136
sample_0794,12+,12+,3+,0.9937825011455191,0.5367521605994034,answer__q_a4d0a299c5a1_Yes,0,1,answer,q_a4d0a299c5a1,Is this the primary focus of the app?,single,Yes,136
sample_1288,7+,7+,12+,0.4036711817926366,0.4933330477089094,answer__q_fa879063695d_No,0,1,answer,q_fa879063695d,Is a significant portion of the app used to connect people for the purposes of dating or sexual relationships or endeavors?,single,No,250
sample_0693,12+,12+,18+,0.999270356100452,0.7642936211007302,answer__q_93e10cb84a82_Yes,0,1,answer,q_93e10cb84a82,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,250
sample_1305,12+,12+,18+,0.9963013414867382,0.974889620316825,answer__q_93e10cb84a82_Yes,0,1,answer,q_93e10cb84a82,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,250
sample_0104,12+,12+,18+,0.9992453364917894,0.7609308692628158,answer__q_93e10cb84a82_Yes,0,1,answer,q_93e10cb84a82,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,250
sample_0112,12+,12+,18+,0.9976506853504311,0.9746960340693686,answer__q_93e10cb84a82_Yes,0,1,answer,q_93e10cb84a82,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,250
sample_0444,12+,12+,3+,0.9879511592036864,0.6775007741165572,answer__q_93e10cb84a82_Yes,0,1,answer,q_93e10cb84a82,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,250
sample_0181,16+,16+,18+,0.5000948677385612,0.5039908199923785,answer__q_7711385eb421_No,1,0,answer,q_7711385eb421,Does the game advocate committing acts of terrorism?,single,No,510
sample_1288,7+,7+,12+,0.4036711817926366,0.513788455327998,answer__q_7711385eb421_No,1,0,answer,q_7711385eb421,Does the game advocate committing acts of terrorism?,single,No,510
