feature,importance_mean
answer__q_93e10cb84a82_Yes,0.040000000000000036
answer__q_fa879063695d_Yes,0.020000000000000018
interactive_element_count,0.015000000000000013
answer__q_d6986c0f5284_Communication_used_to_communicate_with_people_already_known_to_the_user_in_one_on_one_or_small_group_conversations_Skype_SMS_and_Gmail_are_examples_of_these,0.0050000000000000044
answer__q_a4d0a299c5a1_Yes,0.0050000000000000044
violence_score,0.0
sexual_content_score,0.0
language_score,0.0
drug_score,0.0
gambling_score,0.0
fear_score,0.0
ugc_score,0.0
interaction_score,0.0
high_risk_count,0.0
medium_risk_count,0.0
triggered_branch_count,0.0
strategy_cdp_random_path,0.0
answer__q_1189ea881316_No,0.0
skipped_question_count,0.0
answer__q_1b293e4babdc_All_Other_App_Types,0.0
answer__q_1b293e4babdc_Game,0.0
answer__q_1b293e4babdc_Social_or_Communication,0.0
answer__q_24f3b3344402_No,0.0
answer__q_24f3b3344402_Yes,0.0
answer__q_46e0aaa8e62a_No,0.0
answer__q_46e0aaa8e62a_Yes,0.0
answer__q_5cc1024ee5fb_No,0.0
answer__q_5cc1024ee5fb_Yes,0.0
answer__q_aa6a8b99b99a_No,0.0
answer__q_aa6a8b99b99a_Yes,0.0
answer__q_d6986c0f5284_Social_used_to_communicate_post_and_share_content_with_large_groups_of_people_or_for_meeting_new_people_Facebook_Twitter_Instagram_Tinder_are_examples_of_the,0.0
answer__q_f56acd04bdd6_No,0.0
answer__q_f56acd04bdd6_Yes,0.0
answer__q_0cbfa914eb04_No,0.0
answer__q_0cbfa914eb04_Yes,0.0
answer__q_1648e15447c2_Large_or_frequent,0.0
answer__q_1648e15447c2_Small_and_infrequent,0.0
answer__q_19bccb6df9df_No,0.0
answer__q_19bccb6df9df_Yes_it_has_a_childlike_style_e_g_likely_to_appeal_to_younger_children,0.0
answer__q_19bccb6df9df_Yes_it_has_a_pixelated_style,0.0
answer__q_311fb1823e38_Encourages_Glamorizes,0.0
answer__q_311fb1823e38_Encourages_Glamorizes_Reference,0.0
answer__q_311fb1823e38_Encourages_Glamorizes_Reference_Use,0.0
answer__q_311fb1823e38_Encourages_Glamorizes_Use,0.0
answer__q_311fb1823e38_Reference,0.0
answer__q_311fb1823e38_Reference_Use,0.0
answer__q_311fb1823e38_Use,0.0
answer__q_3441afd60687_No,0.0
answer__q_3441afd60687_Yes,0.0
answer__q_3f4040ef5ac3_No,0.0
answer__q_3f4040ef5ac3_Yes,0.0
answer__q_4298248e0d7e_No,0.0
answer__q_4298248e0d7e_Yes,0.0
answer__q_48e460900d50_No,0.0
answer__q_48e460900d50_Yes,0.0
answer__q_4ae86f2db81e_No,0.0
answer__q_4ae86f2db81e_Yes,0.0
answer__q_4f55609f06a2_No,0.0
answer__q_4f55609f06a2_Yes,0.0
answer__q_4f8b66a453da_Often,0.0
answer__q_4f8b66a453da_Rarely,0.0
answer__q_5427a95baf9a_No,0.0
answer__q_5427a95baf9a_Yes,0.0
answer__q_571d6ca06be6_Often,0.0
answer__q_571d6ca06be6_Rarely,0.0
answer__q_5878d1fe838a_No,0.0
answer__q_5878d1fe838a_Yes_with_penalties,0.0
answer__q_5878d1fe838a_Yes_without_penalties,0.0
answer__q_5bf1e7de7f5a_No,0.0
answer__q_5bf1e7de7f5a_Yes,0.0
answer__q_5d84cbf44792_Often,0.0
answer__q_5d84cbf44792_Rare,0.0
answer__q_5ebbe602e5b2_No,0.0
answer__q_5ebbe602e5b2_Yes,0.0
answer__q_606e325700bf_Fantastical,0.0
answer__q_606e325700bf_Realistic,0.0
answer__q_60c024179acd_No,0.0
answer__q_60c024179acd_Yes,0.0
answer__q_60e2a7e48c08_High,0.0
answer__q_60e2a7e48c08_Mild_Limited,0.0
answer__q_60e2a7e48c08_Moderate,0.0
answer__q_60e2a7e48c08_None,0.0
answer__q_6bdc905e3f72_Horrifying_elements_Learn_more,0.0
answer__q_6bdc905e3f72_Horrifying_elements_Learn_more_Scary_elements_Learn_more,0.0
answer__q_6bdc905e3f72_Scary_elements_Learn_more,0.0
answer__q_70a34d241d26_Realistic,0.0
answer__q_70a34d241d26_Unrealistic,0.0
answer__q_7711385eb421_No,0.0
answer__q_7711385eb421_Yes,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Often_depicted_from_a_distant_perspective,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_close_up_perspective,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_dista,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_dista_2,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_close_up_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_distant_perspective,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_distant_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Often_depicted_from_a_distant_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_close_up_perspective,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_distant_perspective,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_distant_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_close_up_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_distant_perspective,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_distant_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_distant_perspective,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_close_up_perspective,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_distant_perspective,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_distant_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_close_up_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_distant_perspective,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_distant_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Often_depicted_from_a_distant_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Rarely_depicted_from_a_close_up_perspective,0.0
answer__q_7dbd7f3e394c_Rarely_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_distant_perspective,0.0
answer__q_7dbd7f3e394c_Rarely_depicted_from_a_close_up_perspective_Rarely_depicted_from_a_distant_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Rarely_depicted_from_a_close_up_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Rarely_depicted_from_a_distant_perspective,0.0
answer__q_7dbd7f3e394c_Rarely_depicted_from_a_distant_perspective_Referred_to,0.0
answer__q_7dbd7f3e394c_Referred_to,0.0
answer__q_7e327631a16c_No,0.0
answer__q_7e327631a16c_Yes,0.0
answer__q_86690295e0c8_Encourages_Glamorizes,0.0
answer__q_86690295e0c8_Encourages_Glamorizes_Reference,0.0
answer__q_86690295e0c8_Encourages_Glamorizes_Reference_Use,0.0
answer__q_86690295e0c8_Encourages_Glamorizes_Use,0.0
answer__q_86690295e0c8_Reference,0.0
answer__q_86690295e0c8_Reference_Use,0.0
answer__q_86690295e0c8_Use,0.0
answer__q_8c3a01a0db0a_High,0.0
answer__q_8c3a01a0db0a_Mild_Limited,0.0
answer__q_8c3a01a0db0a_Moderate,0.0
answer__q_8c3a01a0db0a_None,0.0
answer__q_8df7505e13e7_Realistic,0.0
answer__q_8df7505e13e7_Unrealistic,0.0
answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted,0.0
answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting,0.0
answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting_Mucus_belching_flatu,0.0
answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting_Mucus_belching_flatu_2,0.0
answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting_Urination_urine_real,0.0
answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted_Mucus_belching_flatulence_sounds,0.0
answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted_Mucus_belching_flatulence_sounds_Urination_urine_realistically_depicted_feces,0.0
answer__q_9146217d2e6e_Act_of_human_defecation_visually_depicted_Urination_urine_realistically_depicted_feces,0.0
answer__q_9146217d2e6e_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting,0.0
answer__q_9146217d2e6e_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting_Mucus_belching_flatulence_sounds,0.0
answer__q_9146217d2e6e_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting_Mucus_belching_flatulence_sounds_Urination_urine_realistically,0.0
answer__q_9146217d2e6e_Flatulence_with_depiction_of_flatulence_cloud_whimsical_depictions_of_feces_poo_coils_vomiting_Urination_urine_realistically_depicted_feces,0.0
answer__q_9146217d2e6e_Mucus_belching_flatulence_sounds,0.0
answer__q_9146217d2e6e_Mucus_belching_flatulence_sounds_Urination_urine_realistically_depicted_feces,0.0
answer__q_9146217d2e6e_Urination_urine_realistically_depicted_feces,0.0
answer__q_946159baef71_Discriminatory_language_against_race_religion_sex_etc,0.0
answer__q_946159baef71_Discriminatory_language_against_race_religion_sex_etc_Minor_profanities_e_g_go_to_hell,0.0
answer__q_946159baef71_Discriminatory_language_against_race_religion_sex_etc_Minor_profanities_e_g_go_to_hell_Moderate_swearing_or_other_language_or_gestures_that_could_be_consider,0.0
answer__q_946159baef71_Discriminatory_language_against_race_religion_sex_etc_Minor_profanities_e_g_go_to_hell_Moderate_swearing_or_other_language_or_gestures_that_could_be_consider_2,0.0
answer__q_946159baef71_Discriminatory_language_against_race_religion_sex_etc_Minor_profanities_e_g_go_to_hell_Sexual_expletives_Learn_more,0.0
answer__q_946159baef71_Discriminatory_language_against_race_religion_sex_etc_Moderate_swearing_or_other_language_or_gestures_that_could_be_considered_moderately_or_significantly_of,0.0
answer__q_946159baef71_Discriminatory_language_against_race_religion_sex_etc_Moderate_swearing_or_other_language_or_gestures_that_could_be_considered_moderately_or_significantly_of_2,0.0
answer__q_946159baef71_Discriminatory_language_against_race_religion_sex_etc_Sexual_expletives_Learn_more,0.0
answer__q_946159baef71_Minor_profanities_e_g_go_to_hell,0.0
answer__q_946159baef71_Minor_profanities_e_g_go_to_hell_Moderate_swearing_or_other_language_or_gestures_that_could_be_considered_moderately_or_significantly_offensive_Learn_more,0.0
answer__q_946159baef71_Minor_profanities_e_g_go_to_hell_Moderate_swearing_or_other_language_or_gestures_that_could_be_considered_moderately_or_significantly_offensive_Learn_more_Se,0.0
answer__q_946159baef71_Minor_profanities_e_g_go_to_hell_Sexual_expletives_Learn_more,0.0
answer__q_946159baef71_Moderate_swearing_or_other_language_or_gestures_that_could_be_considered_moderately_or_significantly_offensive_Learn_more,0.0
answer__q_946159baef71_Moderate_swearing_or_other_language_or_gestures_that_could_be_considered_moderately_or_significantly_offensive_Learn_more_Sexual_expletives_Learn_more,0.0
answer__q_946159baef71_Sexual_expletives_Learn_more,0.0
answer__q_99cec7a673ee_Encourages_Glamorizes,0.0
answer__q_99cec7a673ee_Encourages_Glamorizes_Reference,0.0
answer__q_99cec7a673ee_Encourages_Glamorizes_Reference_Use,0.0
answer__q_99cec7a673ee_Encourages_Glamorizes_Use,0.0
answer__q_99cec7a673ee_Reference,0.0
answer__q_99cec7a673ee_Reference_Use,0.0
answer__q_99cec7a673ee_Use,0.0
answer__q_9f0067fa0227_No,0.0
answer__q_9f0067fa0227_Yes,0.0
answer__q_b2b2aeef52b9_Blood_that_isn_t_directly_related_to_a_violent_act_e_g_blood_on_clothing_blood_in_the_background_blood_resulting_from_performing_surgery,0.0
answer__q_b2b2aeef52b9_Blood_that_isn_t_directly_related_to_a_violent_act_e_g_blood_on_clothing_blood_in_the_background_blood_resulting_from_performing_surgery_Disturbing_or_gory_i,0.0
answer__q_b2b2aeef52b9_Blood_that_isn_t_directly_related_to_a_violent_act_e_g_blood_on_clothing_blood_in_the_background_blood_resulting_from_performing_surgery_Disturbing_or_gory_i_2,0.0
answer__q_b2b2aeef52b9_Blood_that_isn_t_directly_related_to_a_violent_act_e_g_blood_on_clothing_blood_in_the_background_blood_resulting_from_performing_surgery_Disturbing_or_gory_i_3,0.0
answer__q_b2b2aeef52b9_Blood_that_isn_t_directly_related_to_a_violent_act_e_g_blood_on_clothing_blood_in_the_background_blood_resulting_from_performing_surgery_Disturbing_or_gory_i_4,0.0
answer__q_b2b2aeef52b9_Blood_that_isn_t_directly_related_to_a_violent_act_e_g_blood_on_clothing_blood_in_the_background_blood_resulting_from_performing_surgery_Violence_against_any,0.0
answer__q_b2b2aeef52b9_Blood_that_isn_t_directly_related_to_a_violent_act_e_g_blood_on_clothing_blood_in_the_background_blood_resulting_from_performing_surgery_Violence_against_any_2,0.0
answer__q_b2b2aeef52b9_Blood_that_isn_t_directly_related_to_a_violent_act_e_g_blood_on_clothing_blood_in_the_background_blood_resulting_from_performing_surgery_Violence_or_implied,0.0
answer__q_b2b2aeef52b9_Disturbing_or_gory_images_without_a_violent_act_shown,0.0
answer__q_b2b2aeef52b9_Disturbing_or_gory_images_without_a_violent_act_shown_Violence_against_anything_other_than_humans_e_g_animals_fantasy_creatures_robots_vehicles_Learn_more,0.0
answer__q_b2b2aeef52b9_Disturbing_or_gory_images_without_a_violent_act_shown_Violence_against_anything_other_than_humans_e_g_animals_fantasy_creatures_robots_vehicles_Learn_more_Vi,0.0
answer__q_b2b2aeef52b9_Disturbing_or_gory_images_without_a_violent_act_shown_Violence_or_implied_violence_against_humans_Learn_more,0.0
answer__q_b2b2aeef52b9_Violence_against_anything_other_than_humans_e_g_animals_fantasy_creatures_robots_vehicles_Learn_more,0.0
answer__q_b2b2aeef52b9_Violence_against_anything_other_than_humans_e_g_animals_fantasy_creatures_robots_vehicles_Learn_more_Violence_or_implied_violence_against_humans_Learn_more,0.0
answer__q_b2b2aeef52b9_Violence_or_implied_violence_against_humans_Learn_more,0.0
answer__q_b5a29f481971_Alcohol,0.0
