model,rank,feature,importance,feature_type,question_key,question_text,question_type,option_text,question_seen_count
decision_tree,1,answer__q_6bdc905e3f72_Scary_elements_Learn_more,0.1962935291472233,answer,q_6bdc905e3f72,Please select all that the game includes:,multi,Scary elements Learn more,276
decision_tree,2,visible_question_count,0.1723698017613212,derived,,,,,
decision_tree,3,answer__q_1b293e4babdc_Social_or_Communication,0.1217828114368506,answer,q_1b293e4babdc,Category,single,Social or Communication,1322
decision_tree,4,answer__q_bd5378991a14_No,0.0727717714953419,answer,q_bd5378991a14,Does the game contain any potentially offensive language? Please note that this question does not refer to user-generated content.,single,No,510
decision_tree,5,answer__q_507a4755324a_No,0.0458461633216245,answer,q_507a4755324a,"Does the app focus on promoting or selling items or activities that are typically age-restricted such as cigarettes, alcohol, firearms, or gambling?",single,No,469
decision_tree,6,answer__q_93e10cb84a82_Yes,0.0428588284658237,answer,q_93e10cb84a82,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?",single,Yes,250
decision_tree,7,interactive_element_count,0.0403310153038779,derived,,,,,
decision_tree,8,answer__q_7711385eb421_No,0.0365289942963333,answer,q_7711385eb421,Does the game advocate committing acts of terrorism?,single,No,510
decision_tree,9,answer__q_94281255eeea_Yes,0.0327843495861626,answer,q_94281255eeea,"Does the app include cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?",single,Yes,469
decision_tree,10,answer__q_07cc5d8fc5f2_Reference_Use,0.0217154353719881,answer,q_07cc5d8fc5f2,Illegal or Recreational Drugs,multi,Reference | Use,57
decision_tree,11,answer__q_fa879063695d_Yes,0.0215942547685609,answer,q_fa879063695d,Is a significant portion of the app used to connect people for the purposes of dating or sexual relationships or endeavors?,single,Yes,250
decision_tree,12,answer__q_f5cfa9d035e8_No,0.0213737982659186,answer,q_f5cfa9d035e8,Does the app contain pictures or sounds likely to be scary or horrifying?,single,No,228
decision_tree,13,answer__q_55327882e80f_Yes,0.0194671481603938,answer,q_55327882e80f,Is this content the focus of the app?,single,Yes,119
decision_tree,14,answer__q_09670428687d_Yes,0.0169778549542751,answer,q_09670428687d,Are there detailed descriptions of techniques that could be used in criminal offenses?,single,Yes,235
decision_tree,15,answer__q_a4d0a299c5a1_Yes,0.0135444861868211,answer,q_a4d0a299c5a1,Is this the primary focus of the app?,single,Yes,136
decision_tree,16,answer__q_7dbd7f3e394c_Often_depicted_from_a_close_up_perspective_Often_depicted_from_a_distant_perspective_Rarely_depicted_from_a_close_up_perspective_Referred_to,0.0134884991529379,answer,q_7dbd7f3e394c,How is this violence presented in the game?,multi,Often depicted from a close-up perspective | Often depicted from a distant perspective | Rarely depicted from a close-up perspective | Referred to,142
decision_tree,17,content_descriptor_count,0.0126343884458081,derived,,,,,
decision_tree,18,answer__q_d6a91ad297c0_Rare,0.011962929383612,answer,q_d6a91ad297c0,How frequent are the horrifying elements?,single,Rare,184
decision_tree,19,answer__q_7e3c719bbc27_No,0.0109552973906231,answer,q_7e3c719bbc27,Can this sexual material be visually depicted?,single,No,124
decision_tree,20,answer__q_0ce68b31ce40_No,0.0097128811364348,answer,q_0ce68b31ce40,Are these gambling themes prominently featured or a strong focus of the product?,single,No,124
extra_trees,1,answer__q_6bdc905e3f72_Scary_elements_Learn_more,0.0305285787767842,answer,q_6bdc905e3f72,Please select all that the game includes:,multi,Scary elements Learn more,276
extra_trees,2,answer__q_1b293e4babdc_Social_or_Communication,0.0188185391133808,answer,q_1b293e4babdc,Category,single,Social or Communication,1322
extra_trees,3,answer__q_bca3ec5dda43_Yes,0.018365033941776,answer,q_bca3ec5dda43,"Does the game contain pictures or sounds likely to be scary, horrifying, or disturbing? Please note that this question does not refer to user-generated content.",single,Yes,510
extra_trees,4,visible_question_count,0.0176286226678714,derived,,,,,
extra_trees,5,answer__q_7711385eb421_No,0.0167265539425712,answer,q_7711385eb421,Does the game advocate committing acts of terrorism?,single,No,510
extra_trees,6,answer__q_bd5378991a14_No,0.0145976033080364,answer,q_bd5378991a14,Does the game contain any potentially offensive language? Please note that this question does not refer to user-generated content.,single,No,510
extra_trees,7,answer__q_7e327631a16c_No,0.0141668099967611,answer,q_7e327631a16c,"Does the game contain inferences of, references to, or depictions of violence, blood, or gory images? This includes violence directed at the player's character. Please note that this question does not refer to user-generated content.",single,No,510
